year,"Low Income
(Bottom 25%)",Middle Income,"High Income
(Top 25%)",digital_divide
2000,0.34601492676904416,3.393989807907501,28.924269929081458,28.578255002312414
2001,0.5417750663219607,5.384678996733568,34.728132033335996,34.186356967014035
2002,0.8248430276348326,8.461022824998619,43.08305367974154,42.258210652106705
2003,1.2801562264895439,10.195509211897205,48.96446878384846,47.684312557358915
2004,1.6137813784932054,12.867136161869055,53.52901135358751,51.9152299750943
2005,2.402323030995723,15.164741646865012,57.06899557880967,54.666672547813945
2006,3.015300964924293,17.941389776444613,60.88742466211939,57.8721236971951
2007,3.726527906219117,21.1950384934938,65.36189356630527,61.63536566008615
2008,4.379096280495977,24.728370852366286,68.79357730308378,64.41448102258781
2009,5.226109355657527,28.623767213206897,71.84947151842445,66.62336216276692
2010,6.134333391833334,32.94848963687931,74.56865951708981,68.43432612525648
2011,7.100020838587503,36.837946956940435,76.5148825430851,69.4148617044976
2012,8.180679973866667,40.60856253080682,78.41019017147892,70.22951019761226
2013,9.4609999609,43.836567900017236,80.28832470243333,70.82732474153333
2014,11.784721620973064,48.553194842225466,81.63177548784942,69.84705386687637
2015,14.969159221466468,52.12207881610272,82.95698521721741,67.98782599575094
2016,17.81845797809832,56.0707671545485,84.55670191005211,66.73824393195379
2017,21.181215379158548,59.378998824435705,85.90722498018935,64.72600960103081
2018,24.058596908524024,63.851568119681914,87.34685313773323,63.28825622920921
2019,26.616758976665743,67.5737536345029,88.70435407571755,62.0875950990518
2020,30.069251527800002,71.87297966480489,89.86152992933333,59.79227840153332
2021,33.2067234985,75.75701605717775,91.18272011033334,57.97599661183334
2022,36.5836728216,78.56401217315789,92.17602293833333,55.592350116733336
